Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)"
Michigan,2019,30,7/27/19,1726.00,1568.00,20.00,423.00,49.00,72.00,17.00,105.00,27.00,26.00,11.00,424.00,89.00,0.00,0.00
Michigan,2019,31,8/3/19,1792.00,1632.00,22.00,388.00,40.00,81.00,20.00,100.00,33.00,27.00,,469.00,80.00,0.00,0.00
Michigan,2019,32,8/10/19,1791.00,1640.00,18.00,393.00,58.00,76.00,15.00,104.00,22.00,34.00,,470.00,94.00,0.00,0.00
Michigan,2019,33,8/17/19,1759.00,1630.00,20.00,414.00,44.00,94.00,23.00,87.00,30.00,35.00,10.00,427.00,93.00,0.00,0.00
Michigan,2019,34,8/24/19,1740.00,1581.00,14.00,388.00,44.00,76.00,15.00,98.00,13.00,39.00,12.00,448.00,77.00,0.00,0.00
Michigan,2019,35,8/31/19,1733.00,1584.00,29.00,384.00,37.00,73.00,28.00,97.00,20.00,43.00,10.00,410.00,108.00,0.00,0.00
Michigan,2019,36,9/7/19,1808.00,1658.00,18.00,396.00,45.00,85.00,25.00,94.00,20.00,34.00,14.00,459.00,103.00,0.00,0.00
Michigan,2019,37,9/14/19,1749.00,1596.00,19.00,406.00,56.00,81.00,23.00,99.00,18.00,23.00,,443.00,98.00,0.00,0.00
Michigan,2019,38,9/21/19,1791.00,1610.00,20.00,397.00,49.00,79.00,19.00,110.00,20.00,34.00,,432.00,87.00,0.00,0.00
Michigan,2019,39,9/28/19,1854.00,1699.00,25.00,432.00,48.00,76.00,36.00,109.00,21.00,36.00,11.00,427.00,89.00,0.00,0.00
Michigan,2019,40,10/5/19,1825.00,1681.00,23.00,401.00,53.00,68.00,19.00,103.00,21.00,26.00,,481.00,102.00,0.00,0.00
Michigan,2019,41,10/12/19,1808.00,1663.00,19.00,404.00,58.00,102.00,23.00,99.00,32.00,31.00,,434.00,103.00,0.00,0.00
Michigan,2019,42,10/19/19,1939.00,1764.00,13.00,417.00,66.00,73.00,13.00,117.00,27.00,41.00,14.00,507.00,104.00,0.00,0.00
Michigan,2019,43,10/26/19,1910.00,1755.00,21.00,402.00,56.00,104.00,26.00,110.00,22.00,37.00,,489.00,108.00,0.00,0.00
Michigan,2019,44,11/2/19,1921.00,1756.00,24.00,393.00,61.00,104.00,31.00,100.00,30.00,29.00,14.00,490.00,87.00,0.00,0.00
Michigan,2019,45,11/9/19,1955.00,1786.00,25.00,394.00,51.00,91.00,28.00,96.00,34.00,34.00,17.00,514.00,100.00,0.00,0.00
Michigan,2019,46,11/16/19,1964.00,1807.00,35.00,390.00,63.00,96.00,32.00,118.00,21.00,37.00,21.00,523.00,99.00,0.00,0.00
Michigan,2019,47,11/23/19,1974.00,1811.00,18.00,398.00,54.00,99.00,27.00,109.00,34.00,31.00,,508.00,107.00,0.00,0.00
Michigan,2019,48,11/30/19,1924.00,1758.00,19.00,389.00,55.00,96.00,29.00,113.00,23.00,29.00,21.00,504.00,89.00,0.00,0.00
Michigan,2019,49,12/7/19,1983.00,1836.00,15.00,431.00,74.00,69.00,31.00,122.00,28.00,17.00,13.00,542.00,107.00,0.00,0.00
Michigan,2019,50,12/14/19,1974.00,1830.00,29.00,415.00,43.00,102.00,26.00,98.00,33.00,29.00,12.00,532.00,108.00,0.00,0.00
Michigan,2019,51,12/21/19,2008.00,1853.00,20.00,436.00,57.00,87.00,32.00,127.00,25.00,36.00,19.00,548.00,102.00,0.00,0.00
Michigan,2019,52,12/28/19,1963.00,1827.00,20.00,388.00,60.00,94.00,31.00,107.00,38.00,46.00,14.00,544.00,110.00,0.00,0.00
Michigan,2020,1,1/4/20,2014.00,1863.00,34.00,401.00,63.00,80.00,42.00,133.00,21.00,39.00,13.00,513.00,114.00,0.00,0.00
Michigan,2020,2,1/11/20,2065.00,1923.00,23.00,414.00,61.00,85.00,39.00,161.00,37.00,40.00,,504.00,114.00,0.00,0.00
Michigan,2020,3,1/18/20,1937.00,1800.00,24.00,382.00,49.00,92.00,42.00,123.00,22.00,40.00,15.00,495.00,126.00,0.00,0.00
Michigan,2020,4,1/25/20,2011.00,1883.00,22.00,450.00,78.00,83.00,36.00,120.00,28.00,35.00,15.00,497.00,131.00,0.00,0.00
Michigan,2020,5,2/1/20,2004.00,1864.00,30.00,402.00,69.00,94.00,46.00,142.00,25.00,48.00,10.00,513.00,82.00,0.00,0.00
Michigan,2020,6,2/8/20,1939.00,1788.00,23.00,368.00,57.00,78.00,54.00,119.00,31.00,41.00,21.00,503.00,118.00,0.00,0.00
Michigan,2020,7,2/15/20,2013.00,1866.00,30.00,426.00,65.00,92.00,55.00,111.00,33.00,46.00,13.00,530.00,110.00,0.00,0.00
Michigan,2020,8,2/22/20,2056.00,1896.00,25.00,404.00,66.00,84.00,61.00,129.00,28.00,41.00,11.00,541.00,127.00,0.00,0.00
Michigan,2020,9,2/29/20,1972.00,1805.00,28.00,383.00,54.00,100.00,50.00,125.00,16.00,38.00,13.00,523.00,116.00,,
Michigan,2020,10,3/7/20,1988.00,1822.00,27.00,398.00,53.00,77.00,53.00,135.00,31.00,47.00,11.00,496.00,106.00,0.00,0.00
Michigan,2020,11,3/14/20,1953.00,1798.00,25.00,360.00,56.00,81.00,60.00,132.00,27.00,45.00,12.00,502.00,98.00,,0.00
Michigan,2020,12,3/21/20,2034.00,1894.00,32.00,393.00,67.00,80.00,65.00,101.00,17.00,43.00,15.00,533.00,112.00,21.00,17.00
Michigan,2020,13,3/28/20,2431.00,2297.00,30.00,445.00,78.00,98.00,76.00,138.00,31.00,47.00,13.00,583.00,120.00,231.00,222.00
Michigan,2020,14,4/4/20,3116.00,2977.00,35.00,431.00,100.00,126.00,100.00,148.00,22.00,45.00,25.00,671.00,139.00,680.00,655.00
Michigan,2020,15,4/11/20,3381.00,3228.00,23.00,395.00,88.00,143.00,69.00,134.00,32.00,37.00,13.00,682.00,136.00,969.00,924.00
Michigan,2020,16,4/18/20,3157.00,3008.00,28.00,392.00,85.00,118.00,52.00,128.00,28.00,35.00,21.00,622.00,115.00,973.00,927.00
Michigan,2020,17,4/25/20,2804.00,2651.00,26.00,378.00,86.00,102.00,53.00,124.00,31.00,34.00,20.00,537.00,115.00,775.00,725.00
Michigan,2020,18,5/2/20,2587.00,2426.00,29.00,345.00,76.00,131.00,33.00,129.00,18.00,40.00,18.00,537.00,111.00,593.00,555.00
Michigan,2020,19,5/9/20,2237.00,2083.00,17.00,386.00,73.00,89.00,38.00,103.00,25.00,31.00,22.00,456.00,91.00,448.00,412.00
Michigan,2020,20,5/16/20,2158.00,1997.00,15.00,350.00,76.00,97.00,36.00,86.00,21.00,32.00,16.00,477.00,133.00,289.00,260.00
Michigan,2020,21,5/23/20,2011.00,1854.00,17.00,381.00,54.00,87.00,25.00,84.00,14.00,31.00,18.00,466.00,100.00,230.00,205.00
Michigan,2020,22,5/30/20,1959.00,1788.00,20.00,351.00,54.00,71.00,26.00,86.00,24.00,22.00,25.00,471.00,102.00,171.00,148.00
Michigan,2020,23,6/6/20,1996.00,1798.00,28.00,393.00,53.00,75.00,22.00,92.00,18.00,37.00,16.00,473.00,110.00,115.00,107.00
Michigan,2020,24,6/13/20,1860.00,1703.00,28.00,374.00,67.00,75.00,16.00,84.00,16.00,38.00,26.00,455.00,105.00,77.00,65.00
Michigan,2020,25,6/20/20,1883.00,1687.00,18.00,388.00,58.00,95.00,26.00,90.00,16.00,36.00,20.00,473.00,79.00,58.00,49.00
Michigan,2020,26,6/27/20,1914.00,1724.00,17.00,392.00,59.00,80.00,27.00,95.00,22.00,28.00,24.00,444.00,111.00,46.00,34.00
Michigan,2020,27,7/4/20,1984.00,1754.00,20.00,402.00,78.00,95.00,14.00,99.00,17.00,37.00,21.00,470.00,108.00,41.00,32.00
Michigan,2020,28,7/11/20,1889.00,1728.00,26.00,405.00,54.00,76.00,19.00,79.00,16.00,37.00,27.00,467.00,94.00,42.00,32.00
Michigan,2020,29,7/18/20,1873.00,1698.00,22.00,414.00,50.00,83.00,13.00,114.00,18.00,33.00,39.00,457.00,89.00,35.00,25.00
Michigan,2020,30,7/25/20,1891.00,1711.00,31.00,384.00,52.00,86.00,23.00,92.00,21.00,38.00,34.00,452.00,104.00,36.00,24.00
Michigan,2020,31,8/1/20,1961.00,1795.00,31.00,403.00,53.00,78.00,16.00,103.00,22.00,42.00,51.00,469.00,92.00,56.00,47.00
Michigan,2020,32,8/8/20,1866.00,1734.00,17.00,353.00,49.00,74.00,24.00,96.00,15.00,32.00,30.00,513.00,102.00,45.00,36.00
Michigan,2020,33,8/15/20,2021.00,1847.00,26.00,414.00,48.00,74.00,26.00,94.00,31.00,29.00,36.00,528.00,113.00,59.00,49.00
Michigan,2020,34,8/22/20,1915.00,1736.00,24.00,390.00,56.00,94.00,21.00,95.00,25.00,24.00,28.00,446.00,92.00,57.00,44.00
Michigan,2020,35,8/29/20,1934.00,1773.00,26.00,422.00,55.00,84.00,23.00,95.00,16.00,39.00,36.00,431.00,96.00,61.00,53.00
Michigan,2020,36,9/5/20,1955.00,1787.00,20.00,433.00,57.00,89.00,16.00,93.00,22.00,31.00,26.00,454.00,93.00,54.00,49.00
Michigan,2020,37,9/12/20,1936.00,1793.00,22.00,389.00,72.00,76.00,22.00,89.00,11.00,37.00,52.00,457.00,116.00,40.00,33.00
Michigan,2020,38,9/19/20,1899.00,1769.00,24.00,393.00,57.00,67.00,19.00,91.00,26.00,41.00,36.00,477.00,98.00,56.00,52.00
Michigan,2020,39,9/26/20,1998.00,1848.00,22.00,402.00,44.00,101.00,21.00,101.00,18.00,26.00,48.00,483.00,99.00,52.00,46.00
Michigan,2020,40,10/3/20,2021.00,1871.00,20.00,382.00,76.00,89.00,36.00,100.00,16.00,32.00,47.00,486.00,105.00,77.00,69.00
Michigan,2020,41,10/10/20,2143.00,1980.00,23.00,469.00,57.00,107.00,29.00,104.00,23.00,29.00,47.00,503.00,116.00,85.00,71.00
Michigan,2020,42,10/17/20,2024.00,1883.00,13.00,388.00,49.00,85.00,25.00,102.00,31.00,38.00,50.00,476.00,107.00,124.00,114.00
Michigan,2020,43,10/24/20,2194.00,2059.00,18.00,411.00,63.00,107.00,28.00,94.00,29.00,26.00,48.00,537.00,124.00,163.00,148.00
Michigan,2020,44,10/31/20,2157.00,2011.00,20.00,449.00,53.00,83.00,23.00,84.00,18.00,36.00,55.00,480.00,119.00,168.00,149.00
Michigan,2020,45,11/7/20,2324.00,2180.00,28.00,375.00,71.00,103.00,34.00,92.00,21.00,47.00,79.00,530.00,108.00,284.00,257.00
Michigan,2020,46,11/14/20,2409.00,2268.00,24.00,425.00,56.00,97.00,29.00,102.00,29.00,34.00,68.00,517.00,94.00,390.00,356.00
Michigan,2020,47,11/21/20,2587.00,2442.00,18.00,418.00,74.00,107.00,21.00,97.00,22.00,39.00,63.00,530.00,114.00,564.00,504.00
Michigan,2020,48,11/28/20,2624.00,2519.00,28.00,409.00,64.00,108.00,28.00,87.00,15.00,34.00,89.00,499.00,126.00,644.00,579.00
Michigan,2020,49,12/5/20,2727.00,2622.00,29.00,413.00,55.00,120.00,32.00,90.00,26.00,34.00,94.00,541.00,113.00,753.00,674.00
Michigan,2020,50,12/12/20,2807.00,2716.00,17.00,408.00,74.00,111.00,45.00,104.00,27.00,43.00,105.00,517.00,119.00,773.00,711.00
Michigan,2020,51,12/19/20,2349.00,2280.00,22.00,373.00,44.00,119.00,28.00,85.00,15.00,23.00,95.00,472.00,116.00,593.00,538.00
Michigan,2020,52,12/26/20,1513.00,1469.00,15.00,268.00,48.00,70.00,19.00,69.00,25.00,24.00,88.00,334.00,96.00,161.00,152.00
Michigan,2020,53,1/2/21,877.00,861.00,,172.00,33.00,42.00,13.00,34.00,14.00,14.00,41.00,210.00,51.00,49.00,49.00
Minnesota,2019,1,1/5/19,921.00,844.00,16.00,199.00,33.00,45.00,10.00,47.00,12.00,11.00,25.00,170.00,46.00,0.00,0.00
Minnesota,2019,2,1/12/19,945.00,857.00,11.00,213.00,34.00,48.00,22.00,62.00,,,18.00,151.00,45.00,0.00,0.00
Minnesota,2019,3,1/19/19,954.00,860.00,10.00,196.00,28.00,52.00,12.00,60.00,19.00,10.00,20.00,158.00,49.00,0.00,0.00
Minnesota,2019,4,1/26/19,898.00,838.00,,217.00,21.00,51.00,13.00,55.00,11.00,11.00,23.00,169.00,49.00,0.00,0.00
Minnesota,2019,5,2/2/19,937.00,869.00,11.00,196.00,30.00,59.00,13.00,46.00,23.00,11.00,20.00,169.00,53.00,0.00,0.00
Minnesota,2019,6,2/9/19,983.00,893.00,,210.00,22.00,66.00,18.00,42.00,,10.00,17.00,191.00,44.00,0.00,0.00
Minnesota,2019,7,2/16/19,892.00,821.00,,175.00,34.00,49.00,13.00,50.00,,13.00,14.00,190.00,56.00,0.00,0.00
Minnesota,2019,8,2/23/19,873.00,802.00,,173.00,29.00,49.00,,49.00,11.00,,19.00,174.00,34.00,0.00,0.00
Minnesota,2019,9,3/2/19,805.00,751.00,,174.00,30.00,51.00,12.00,39.00,10.00,11.00,16.00,149.00,46.00,0.00,0.00
Minnesota,2019,10,3/9/19,912.00,840.00,,216.00,24.00,58.00,18.00,52.00,,,20.00,170.00,47.00,0.00,0.00
Minnesota,2019,11,3/16/19,856.00,786.00,,191.00,30.00,45.00,13.00,32.00,11.00,,22.00,165.00,44.00,0.00,0.00
Minnesota,2019,12,3/23/19,826.00,761.00,,192.00,18.00,53.00,12.00,42.00,10.00,,15.00,150.00,40.00,0.00,0.00
Minnesota,2019,13,3/30/19,871.00,798.00,,189.00,23.00,46.00,19.00,48.00,,10.00,23.00,180.00,53.00,0.00,0.00
Minnesota,2019,14,4/6/19,851.00,795.00,,205.00,32.00,51.00,12.00,40.00,14.00,,18.00,154.00,49.00,0.00,0.00
Minnesota,2019,15,4/13/19,854.00,773.00,,198.00,27.00,35.00,14.00,29.00,16.00,10.00,25.00,162.00,46.00,0.00,0.00
Minnesota,2019,16,4/20/19,874.00,809.00,,210.00,22.00,43.00,14.00,53.00,12.00,11.00,20.00,153.00,58.00,0.00,0.00
Minnesota,2019,17,4/27/19,820.00,746.00,,198.00,25.00,32.00,13.00,35.00,15.00,,19.00,141.00,38.00,0.00,0.00
Minnesota,2019,18,5/4/19,860.00,782.00,,189.00,22.00,45.00,11.00,34.00,13.00,12.00,21.00,165.00,47.00,0.00,0.00
Minnesota,2019,19,5/11/19,883.00,817.00,15.00,173.00,23.00,56.00,,39.00,,,13.00,184.00,54.00,0.00,0.00
Minnesota,2019,20,5/18/19,911.00,838.00,,219.00,40.00,45.00,,63.00,13.00,,20.00,156.00,43.00,0.00,0.00
Minnesota,2019,21,5/25/19,815.00,738.00,,184.00,24.00,41.00,15.00,50.00,,10.00,10.00,136.00,51.00,0.00,0.00
Minnesota,2019,22,6/1/19,874.00,800.00,,196.00,25.00,50.00,,48.00,15.00,11.00,18.00,158.00,48.00,0.00,0.00
Minnesota,2019,23,6/8/19,846.00,749.00,,190.00,34.00,36.00,,50.00,16.00,,19.00,154.00,54.00,0.00,0.00
Minnesota,2019,24,6/15/19,803.00,729.00,10.00,174.00,18.00,35.00,,39.00,,,34.00,142.00,43.00,0.00,0.00
Minnesota,2019,25,6/22/19,790.00,709.00,,182.00,20.00,37.00,12.00,41.00,,11.00,19.00,140.00,41.00,0.00,0.00
Minnesota,2019,26,6/29/19,793.00,721.00,,176.00,23.00,46.00,,44.00,11.00,,22.00,139.00,38.00,0.00,0.00
Minnesota,2019,27,7/6/19,826.00,747.00,,189.00,23.00,46.00,,47.00,14.00,10.00,17.00,145.00,39.00,0.00,0.00
Minnesota,2019,28,7/13/19,846.00,775.00,,213.00,28.00,43.00,,53.00,,,20.00,164.00,44.00,0.00,0.00
Minnesota,2019,29,7/20/19,785.00,709.00,,173.00,34.00,47.00,,30.00,,10.00,18.00,141.00,43.00,0.00,0.00
Minnesota,2019,30,7/27/19,818.00,735.00,,196.00,18.00,53.00,,27.00,,,15.00,151.00,37.00,0.00,0.00
Minnesota,2019,31,8/3/19,846.00,760.00,,193.00,30.00,58.00,,43.00,,11.00,17.00,145.00,42.00,0.00,0.00
Minnesota,2019,32,8/10/19,886.00,799.00,11.00,201.00,33.00,42.00,10.00,48.00,18.00,,23.00,141.00,42.00,0.00,0.00
Minnesota,2019,33,8/17/19,847.00,752.00,,188.00,32.00,53.00,,32.00,10.00,14.00,26.00,152.00,48.00,0.00,0.00
Minnesota,2019,34,8/24/19,825.00,722.00,,207.00,22.00,37.00,,45.00,11.00,16.00,20.00,133.00,37.00,0.00,0.00
Minnesota,2019,35,8/31/19,823.00,750.00,,186.00,32.00,47.00,13.00,43.00,11.00,,30.00,156.00,36.00,0.00,0.00
Minnesota,2019,36,9/7/19,846.00,753.00,14.00,197.00,17.00,52.00,,40.00,13.00,14.00,20.00,159.00,31.00,0.00,0.00
Minnesota,2019,37,9/14/19,762.00,676.00,,158.00,22.00,43.00,,31.00,,10.00,13.00,146.00,50.00,0.00,0.00
Minnesota,2019,38,9/21/19,906.00,822.00,,203.00,23.00,47.00,,42.00,14.00,11.00,18.00,160.00,45.00,0.00,0.00
Minnesota,2019,39,9/28/19,883.00,817.00,,229.00,23.00,50.00,,40.00,17.00,,31.00,152.00,38.00,0.00,0.00
Minnesota,2019,40,10/5/19,879.00,804.00,,205.00,25.00,53.00,,35.00,19.00,,34.00,177.00,37.00,0.00,0.00
Minnesota,2019,41,10/12/19,916.00,836.00,,201.00,31.00,59.00,,41.00,,,23.00,178.00,57.00,0.00,0.00
Minnesota,2019,42,10/19/19,892.00,803.00,,179.00,24.00,44.00,,55.00,16.00,13.00,20.00,183.00,46.00,0.00,0.00
Minnesota,2019,43,10/26/19,839.00,760.00,,181.00,26.00,47.00,10.00,42.00,15.00,,23.00,143.00,35.00,0.00,0.00
Minnesota,2019,44,11/2/19,873.00,795.00,11.00,191.00,17.00,42.00,,37.00,17.00,12.00,17.00,158.00,56.00,0.00,0.00
Minnesota,2019,45,11/9/19,860.00,798.00,,184.00,27.00,65.00,,44.00,16.00,,17.00,160.00,37.00,0.00,0.00
Minnesota,2019,46,11/16/19,938.00,863.00,,226.00,26.00,56.00,,43.00,18.00,,26.00,169.00,46.00,0.00,0.00
Minnesota,2019,47,11/23/19,890.00,822.00,10.00,202.00,24.00,57.00,11.00,49.00,14.00,,24.00,154.00,62.00,0.00,0.00
Minnesota,2019,48,11/30/19,870.00,794.00,,186.00,34.00,57.00,,46.00,,10.00,24.00,166.00,37.00,0.00,0.00
Minnesota,2019,49,12/7/19,923.00,835.00,,201.00,34.00,51.00,11.00,34.00,15.00,11.00,28.00,177.00,46.00,0.00,0.00
Minnesota,2019,50,12/14/19,892.00,832.00,15.00,181.00,23.00,59.00,10.00,41.00,18.00,13.00,17.00,166.00,40.00,0.00,0.00
Minnesota,2019,51,12/21/19,932.00,876.00,15.00,182.00,38.00,51.00,,47.00,16.00,,26.00,188.00,42.00,0.00,0.00
Minnesota,2019,52,12/28/19,1006.00,932.00,15.00,200.00,26.00,61.00,10.00,40.00,18.00,19.00,23.00,187.00,56.00,0.00,0.00
Minnesota,2020,1,1/4/20,1009.00,928.00,17.00,219.00,42.00,56.00,17.00,45.00,18.00,10.00,25.00,197.00,47.00,0.00,0.00
Minnesota,2020,2,1/11/20,950.00,880.00,10.00,202.00,26.00,51.00,15.00,51.00,15.00,13.00,19.00,199.00,44.00,0.00,0.00
Minnesota,2020,3,1/18/20,945.00,873.00,,198.00,27.00,51.00,10.00,62.00,12.00,,27.00,173.00,37.00,0.00,0.00
Minnesota,2020,4,1/25/20,957.00,896.00,10.00,186.00,30.00,59.00,20.00,64.00,14.00,15.00,31.00,159.00,45.00,0.00,0.00
Minnesota,2020,5,2/1/20,942.00,872.00,,214.00,19.00,60.00,13.00,40.00,14.00,14.00,14.00,174.00,43.00,0.00,0.00
Minnesota,2020,6,2/8/20,919.00,847.00,,204.00,32.00,48.00,21.00,47.00,,,24.00,186.00,46.00,0.00,0.00
Minnesota,2020,7,2/15/20,941.00,870.00,15.00,206.00,30.00,47.00,17.00,40.00,18.00,12.00,24.00,178.00,44.00,0.00,0.00
Minnesota,2020,8,2/22/20,912.00,832.00,12.00,188.00,30.00,54.00,22.00,51.00,10.00,17.00,22.00,153.00,47.00,0.00,0.00
Minnesota,2020,9,2/29/20,932.00,858.00,12.00,182.00,21.00,60.00,24.00,46.00,16.00,12.00,21.00,181.00,48.00,0.00,0.00
Minnesota,2020,10,3/7/20,944.00,861.00,,187.00,29.00,44.00,29.00,46.00,14.00,19.00,29.00,162.00,45.00,0.00,0.00
Minnesota,2020,11,3/14/20,882.00,793.00,,168.00,29.00,42.00,21.00,53.00,19.00,12.00,29.00,156.00,43.00,0.00,0.00
Minnesota,2020,12,3/21/20,893.00,810.00,11.00,184.00,25.00,51.00,25.00,40.00,14.00,11.00,20.00,166.00,44.00,,
Minnesota,2020,13,3/28/20,906.00,829.00,11.00,206.00,30.00,51.00,13.00,46.00,13.00,11.00,18.00,153.00,34.00,12.00,11.00
Minnesota,2020,14,4/4/20,922.00,825.00,,176.00,38.00,58.00,15.00,39.00,11.00,,25.00,162.00,41.00,25.00,23.00
Minnesota,2020,15,4/11/20,936.00,858.00,,198.00,30.00,44.00,20.00,41.00,15.00,14.00,28.00,155.00,38.00,45.00,45.00
Minnesota,2020,16,4/18/20,946.00,876.00,,209.00,21.00,51.00,,47.00,16.00,,17.00,130.00,47.00,79.00,77.00
Minnesota,2020,17,4/25/20,1013.00,931.00,,188.00,33.00,38.00,,27.00,11.00,10.00,18.00,167.00,43.00,147.00,137.00
Minnesota,2020,18,5/2/20,1042.00,951.00,,167.00,30.00,60.00,13.00,46.00,13.00,,18.00,183.00,57.00,157.00,146.00
Minnesota,2020,19,5/9/20,1055.00,973.00,10.00,201.00,35.00,58.00,,43.00,10.00,,25.00,145.00,40.00,168.00,153.00
Minnesota,2020,20,5/16/20,998.00,906.00,,186.00,36.00,51.00,,29.00,14.00,,16.00,157.00,48.00,142.00,135.00
Minnesota,2020,21,5/23/20,1002.00,922.00,12.00,172.00,22.00,53.00,,43.00,,,19.00,152.00,30.00,164.00,155.00
Minnesota,2020,22,5/30/20,1015.00,924.00,10.00,170.00,27.00,57.00,10.00,42.00,15.00,,21.00,158.00,40.00,156.00,142.00
Minnesota,2020,23,6/6/20,1039.00,959.00,11.00,205.00,34.00,43.00,,33.00,16.00,,18.00,167.00,44.00,152.00,136.00
Minnesota,2020,24,6/13/20,973.00,869.00,12.00,207.00,25.00,49.00,11.00,39.00,10.00,11.00,19.00,162.00,41.00,90.00,79.00
Minnesota,2020,25,6/20/20,941.00,853.00,,209.00,24.00,53.00,,48.00,15.00,,14.00,150.00,45.00,68.00,54.00
Minnesota,2020,26,6/27/20,839.00,756.00,,176.00,13.00,44.00,,43.00,13.00,15.00,23.00,130.00,43.00,54.00,37.00
Minnesota,2020,27,7/4/20,875.00,781.00,,175.00,21.00,41.00,,36.00,,,23.00,156.00,39.00,44.00,34.00
Minnesota,2020,28,7/11/20,865.00,763.00,,174.00,31.00,38.00,,39.00,12.00,11.00,,151.00,39.00,32.00,27.00
Minnesota,2020,29,7/18/20,868.00,766.00,,188.00,14.00,43.00,,37.00,11.00,,18.00,156.00,43.00,38.00,32.00
Minnesota,2020,30,7/25/20,878.00,787.00,,191.00,31.00,43.00,10.00,49.00,11.00,14.00,19.00,133.00,43.00,34.00,27.00
Minnesota,2020,31,8/1/20,818.00,734.00,,172.00,36.00,40.00,,40.00,,10.00,21.00,135.00,33.00,36.00,29.00
Minnesota,2020,32,8/8/20,893.00,796.00,,197.00,22.00,35.00,,34.00,,,15.00,176.00,33.00,46.00,41.00
Minnesota,2020,33,8/15/20,886.00,801.00,,201.00,24.00,39.00,,27.00,15.00,12.00,12.00,173.00,35.00,49.00,40.00
Minnesota,2020,34,8/22/20,905.00,813.00,,204.00,25.00,44.00,,46.00,13.00,,18.00,155.00,35.00,59.00,50.00
Minnesota,2020,35,8/29/20,916.00,823.00,,191.00,42.00,51.00,,40.00,12.00,13.00,12.00,163.00,48.00,40.00,28.00
Minnesota,2020,36,9/5/20,895.00,797.00,,190.00,26.00,53.00,,41.00,,,17.00,161.00,32.00,51.00,41.00
Minnesota,2020,37,9/12/20,889.00,802.00,12.00,177.00,29.00,48.00,,37.00,,,13.00,162.00,44.00,56.00,45.00
Minnesota,2020,38,9/19/20,951.00,854.00,,218.00,30.00,43.00,,34.00,10.00,,17.00,164.00,67.00,47.00,37.00
Minnesota,2020,39,9/26/20,965.00,879.00,,200.00,29.00,54.00,,35.00,15.00,16.00,25.00,169.00,39.00,57.00,46.00
Minnesota,2020,40,10/3/20,883.00,790.00,,185.00,18.00,33.00,,35.00,12.00,,22.00,141.00,42.00,71.00,58.00
Minnesota,2020,41,10/10/20,1006.00,909.00,12.00,197.00,30.00,50.00,,48.00,,,21.00,168.00,37.00,84.00,72.00
Minnesota,2020,42,10/17/20,947.00,872.00,11.00,201.00,34.00,46.00,,39.00,,12.00,18.00,144.00,31.00,98.00,88.00
Minnesota,2020,43,10/24/20,1023.00,951.00,,206.00,27.00,42.00,,41.00,13.00,,30.00,172.00,34.00,122.00,109.00
Minnesota,2020,44,10/31/20,1061.00,972.00,11.00,200.00,26.00,41.00,,48.00,10.00,,21.00,152.00,56.00,153.00,133.00
Minnesota,2020,45,11/7/20,1126.00,1045.00,,182.00,24.00,64.00,,52.00,,,25.00,171.00,45.00,214.00,184.00
Minnesota,2020,46,11/14/20,1183.00,1103.00,11.00,197.00,18.00,49.00,,33.00,15.00,15.00,30.00,174.00,49.00,277.00,247.00
Minnesota,2020,47,11/21/20,1307.00,1229.00,12.00,188.00,28.00,44.00,,36.00,21.00,11.00,25.00,192.00,52.00,396.00,363.00
Minnesota,2020,48,11/28/20,1366.00,1296.00,16.00,208.00,31.00,58.00,10.00,40.00,18.00,15.00,20.00,176.00,41.00,435.00,382.00
Minnesota,2020,49,12/5/20,1288.00,1221.00,,184.00,29.00,62.00,,45.00,10.00,,24.00,156.00,43.00,461.00,409.00
Minnesota,2020,50,12/12/20,1312.00,1266.00,,184.00,26.00,67.00,,49.00,18.00,11.00,28.00,153.00,44.00,464.00,408.00
Minnesota,2020,51,12/19/20,1117.00,1077.00,10.00,185.00,32.00,56.00,,29.00,11.00,,24.00,139.00,56.00,356.00,315.00
Minnesota,2020,52,12/26/20,722.00,710.00,10.00,142.00,23.00,30.00,,25.00,12.00,,24.00,123.00,32.00,123.00,104.00
Minnesota,2020,53,1/2/21,618.00,603.00,,139.00,17.00,44.00,,30.00,,,18.00,117.00,35.00,60.00,51.00
Mississippi,2019,1,1/5/19,658.00,618.00,11.00,126.00,22.00,27.00,19.00,46.00,12.00,22.00,11.00,170.00,31.00,0.00,0.00
Mississippi,2019,2,1/12/19,649.00,605.00,13.00,134.00,24.00,33.00,11.00,47.00,,19.00,,174.00,33.00,0.00,0.00
Mississippi,2019,3,1/19/19,637.00,578.00,,129.00,27.00,44.00,16.00,48.00,13.00,10.00,,150.00,31.00,0.00,0.00
