region,age,population
Missouri,10-14 years,409329
Missouri,15-19 years,399024
Missouri,20-24 years,380536
Missouri,25-29 years,398666
Missouri,30-34 years,410135
Missouri,35-39 years,414259
Missouri,40-44 years,382844
Missouri,45-49 years,363093
Missouri,50-54 years,367960
Missouri,55-59 years,414946
Missouri,60-64 years ,402384
Missouri,65-69 years,335140
Missouri,70-74 years,267352
Missouri,75-79 years,184188
Missouri,80-84 years,119906
Missouri,85+ years,140485
Montana,0-4 years,57287
Montana,5-9 years,62860
Montana,10-14 years,63298
Montana,15-19 years,55898
Montana,20-24 years,48579
Montana,25-29 years,51167
Montana,30-34 years,61587
Montana,35-39 years,72634
Montana,40-44 years,67498
Montana,45-49 years,61000
Montana,50-54 years,59671
Montana,55-59 years,71006
Montana,60-64 years ,78467
Montana,65-69 years,71568
Montana,70-74 years,54558
Montana,75-79 years,35625
Montana,80-84 years,23300
Montana,85+ years,26732
Nebraska,0-4 years,126416
Nebraska,5-9 years,127748
Nebraska,10-14 years,128125
Nebraska,15-19 years,125602
Nebraska,20-24 years,111424
Nebraska,25-29 years,108809
Nebraska,30-34 years,108991
Nebraska,35-39 years,113176
Nebraska,40-44 years,108982
Nebraska,45-49 years,104521
Nebraska,50-54 years,102261
Nebraska,55-59 years,114717
Nebraska,60-64 years ,112912
Nebraska,65-69 years,97652
Nebraska,70-74 years,76412
Nebraska,75-79 years,51155
Nebraska,80-84 years,35810
Nebraska,85+ years,47965
Nevada,0-4 years,259145
Nevada,5-9 years,244650
Nevada,10-14 years,226205
Nevada,15-19 years,208925
Nevada,20-24 years,203345
Nevada,25-29 years,216083
Nevada,30-34 years,207528
Nevada,35-39 years,198019
Nevada,40-44 years,206441
Nevada,45-49 years,227744
Nevada,50-54 years,243586
Nevada,55-59 years,251594
Nevada,60-64 years ,227898
Nevada,65-69 years,187488
Nevada,70-74 years,145085
Nevada,75-79 years,92943
Nevada,80-84 years,54414
Nevada,85+ years,51190
New Hampshire,0-4 years,91415
New Hampshire,5-9 years,95655
New Hampshire,10-14 years,92088
New Hampshire,15-19 years,82095
New Hampshire,20-24 years,77586
New Hampshire,25-29 years,93365
New Hampshire,30-34 years,109263
New Hampshire,35-39 years,114678
New Hampshire,40-44 years,99938
New Hampshire,45-49 years,89617
New Hampshire,50-54 years,98576
New Hampshire,55-59 years,111696
New Hampshire,60-64 years ,106923
New Hampshire,65-69 years,87840
New Hampshire,70-74 years,70506
New Hampshire,75-79 years,44318
New Hampshire,80-84 years,27064
New Hampshire,85+ years,32128
New Jersey,0-4 years,611635
New Jersey,5-9 years,610898
New Jersey,10-14 years,585436
New Jersey,15-19 years,539048
New Jersey,20-24 years,524258
New Jersey,25-29 years,600736
New Jersey,30-34 years,650638
New Jersey,35-39 years,656851
New Jersey,40-44 years,615448
New Jersey,45-49 years,622641
New Jersey,50-54 years,650657
New Jersey,55-59 years,657685
New Jersey,60-64 years ,583160
New Jersey,65-69 years,466718
New Jersey,70-74 years,393518
New Jersey,75-79 years,278222
New Jersey,80-84 years,184272
New Jersey,85+ years,229814
New Mexico,0-4 years,139025
New Mexico,5-9 years,140347
New Mexico,10-14 years,135222
New Mexico,15-19 years,120806
New Mexico,20-24 years,109383
New Mexico,25-29 years,116144
New Mexico,30-34 years,125177
New Mexico,35-39 years,128277
New Mexico,40-44 years,111590
New Mexico,45-49 years,112802
New Mexico,50-54 years,122702
New Mexico,55-59 years,147599
New Mexico,60-64 years ,155577
New Mexico,65-69 years,139625
New Mexico,70-74 years,110727
New Mexico,75-79 years,71066
New Mexico,80-84 years,46155
New Mexico,85+ years,52117
New York,0-4 years,1267778
New York,5-9 years,1219692
New York,10-14 years,1179492
New York,15-19 years,1194036
New York,20-24 years,1219873
New York,25-29 years,1387876
New York,30-34 years,1390062
New York,35-39 years,1294828
New York,40-44 years,1193464
New York,45-49 years,1180454
New York,50-54 years,1281717
New York,55-59 years,1322674
New York,60-64 years ,1194954
New York,65-69 years,971963
New York,70-74 years,813571
New York,75-79 years,563203
New York,80-84 years,391057
New York,85+ years,510226
North Carolina,0-4 years,760953
North Carolina,5-9 years,715396
North Carolina,10-14 years,700753
North Carolina,15-19 years,769358
North Carolina,20-24 years,738393
North Carolina,25-29 years,719805
North Carolina,30-34 years,680408
North Carolina,35-39 years,615216
North Carolina,40-44 years,660547
North Carolina,45-49 years,688427
North Carolina,50-54 years,688331
North Carolina,55-59 years,703791
North Carolina,60-64 years ,649333
North Carolina,65-69 years,537772
North Carolina,70-74 years,428866
North Carolina,75-79 years,281020
North Carolina,80-84 years,176686
North Carolina,85+ years,194234
